Shiller Historical Data - Stock Market Returns, Dividends, Earnings, Interest Rates, and Inflation
Data compiled by Robert Shiller - http://www.econ.yale.edu/~shiller/data.htm
All data is monthly from January 1871 to present
Column headers: Date, S&P Composite Price, Dividend, Earnings, CPI, Long Interest Rate, Real Price, Real Dividend, Real Earnings, CAPE (PE10)
1872.11,4.17,0.26,0.49,12.65,5.32,82.80,5.16,9.73,
1872.12,4.10,0.26,0.49,12.65,5.32,81.42,5.16,9.73,
1873.01,4.14,0.27,0.47,12.56,5.32,82.80,5.40,9.40,
1873.02,4.27,0.27,0.47,12.46,5.32,85.96,5.44,9.47,
1873.03,4.30,0.27,0.47,12.37,5.32,87.31,5.48,9.55,
1873.04,4.11,0.27,0.47,12.27,5.32,84.14,5.52,9.63,
1873.05,4.12,0.27,0.47,12.27,5.32,84.35,5.52,9.63,
1873.06,4.09,0.27,0.47,12.27,5.32,83.73,5.52,9.63,
1873.07,3.99,0.27,0.47,12.08,5.32,82.95,5.61,9.77,
1873.08,3.86,0.27,0.47,12.08,5.32,80.25,5.61,9.77,
1873.09,3.83,0.27,0.47,11.98,5.32,80.30,5.66,9.85,
1873.10,3.78,0.27,0.47,11.98,5.32,79.25,5.66,9.85,
1873.11,3.86,0.27,0.47,11.70,5.32,82.91,5.80,10.09,
1873.12,3.82,0.27,0.47,11.51,5.32,83.23,5.89,10.25,
1874.01,3.80,0.27,0.42,11.51,5.32,82.97,5.89,9.16,
1874.02,3.82,0.27,0.42,11.22,5.32,85.47,6.04,8.94,
1874.03,3.82,0.27,0.42,11.03,5.32,86.95,6.15,9.04,
1874.04,3.69,0.27,0.42,10.93,5.32,84.72,6.20,9.11,
1874.05,3.68,0.27,0.42,10.74,5.32,86.01,6.31,9.27,
1874.06,3.72,0.27,0.42,10.84,5.32,86.16,6.26,9.19,
1874.07,3.68,0.27,0.42,10.74,5.32,85.99,6.31,9.27,
1874.08,3.59,0.27,0.42,10.55,5.32,85.45,6.43,9.44,
1874.09,3.57,0.27,0.42,10.55,5.32,84.97,6.43,9.44,
1874.10,3.50,0.27,0.42,10.45,5.32,84.05,6.49,9.52,
1874.11,3.56,0.27,0.42,10.36,5.32,86.30,6.54,9.61,
1874.12,3.57,0.27,0.42,10.36,5.32,86.54,6.54,9.61,
1875.01,3.56,0.29,0.42,10.26,5.00,87.13,7.10,10.28,
1900.01,6.10,0.31,0.48,25.40,3.33,60.24,3.06,4.74,12.1
1910.01,10.30,0.39,0.89,28.40,3.74,91.08,3.45,7.87,14.2
1920.01,11.10,0.54,1.28,60.00,5.32,46.46,2.26,5.35,5.1
1929.01,31.86,0.89,1.61,51.30,3.60,155.91,4.36,7.89,32.6
1930.01,24.22,0.82,1.23,50.00,3.29,121.56,4.12,6.18,22.9
1940.01,12.30,0.68,0.86,41.60,2.21,74.28,4.11,5.19,13.3
1950.01,16.66,0.88,1.48,71.40,2.32,58.59,3.10,5.21,9.1
1960.01,58.11,1.95,3.23,88.70,4.72,164.41,5.52,9.14,19.0
1970.01,92.06,3.14,5.78,116.30,7.91,198.69,6.78,12.49,18.6
1980.01,107.94,6.16,14.82,234.40,11.46,115.57,6.60,15.86,8.0
1983.01,140.64,6.87,8.36,289.10,10.79,122.14,5.97,7.26,11.5
1990.01,353.40,12.00,21.35,127.40,8.55,696.36,23.67,42.11,18.8
1991.01,343.93,12.20,15.48,134.60,8.09,641.72,22.76,28.87,19.3
1992.01,408.78,12.38,19.09,138.10,7.67,743.54,22.51,34.71,20.2
1993.01,438.78,12.64,19.73,142.60,7.39,772.50,22.25,34.73,20.8
1994.01,472.99,13.08,30.87,145.80,7.08,814.33,22.52,53.16,21.3
1995.01,459.27,13.49,32.44,150.30,7.78,767.29,22.53,54.17,20.2
2000.01,1394.46,16.68,56.13,168.80,6.66,2074.14,24.82,83.49,43.8
2005.01,1181.27,22.38,67.18,190.70,4.22,1554.65,29.45,88.39,26.6
2008.01,1378.55,27.73,84.34,211.08,4.05,1639.51,32.99,100.30,26.5
2009.01,825.88,24.54,14.88,211.14,3.45,981.82,29.17,17.65,13.3
2010.01,1115.10,22.41,60.26,214.54,3.85,1304.44,26.22,70.54,20.3
2015.01,1994.99,43.41,99.36,233.71,2.09,2142.66,46.61,106.63,26.4
2020.01,3225.52,58.99,124.51,257.97,1.92,3139.11,57.43,121.11,30.5
2021.01,3793.75,58.92,139.47,260.47,1.11,3656.59,56.82,134.52,35.7
2022.01,4515.55,63.23,195.24,281.15,1.88,4031.85,56.43,174.28,36.8
2023.01,3839.50,71.23,162.55,299.17,3.88,3222.12,59.77,136.34,28.8
2024.01,4783.45,75.41,192.34,308.42,4.25,3893.21,61.39,156.58,32.1
